"name";"category_name";bloom_start_month;bloom_start_day;bloom_end_month;bloom_end_day
Фацелия рябинолистная;Специальные медоносы;6;5;7;5
Синяк обыкновенный;Специальные медоносы;6;15;8;15
Резеда ароматная;Специальные медоносы;6;1;8;31
Шалфей кольчатый;Специальные медоносы;7;1;8;31
Мелисса лекарственная;Специальные медоносы;7;1;8;31
Огуречная трава (бораго);Специальные медоносы;7;1;8;31
Гречиха;Полевые сельскохозяйственные культуры;6;15;6;30
Подсолнечник;Полевые сельскохозяйственные культуры;7;10;8;31
Рапс озимый;Полевые сельскохозяйственные культуры;4;25;5;25
Рапс яровой;Полевые сельскохозяйственные культуры;6;1;7;30
Хлопчатник;Полевые сельскохозяйственные культуры;6;1;9;30
Клевер белый и розовый;Кормовые сельскохозяйственные культуры;6;1;9;30
Клевер красный;Кормовые сельскохозяйственные культуры;6;1;8;30
Люцерна посевная;Кормовые сельскохозяйственные культуры;5;1;6;30
Люцерна серповидная;Кормовые сельскохозяйственные культуры;6;1;8;30
Эспарцет виколистный;Кормовые сельскохозяйственные культуры;6;1;6;30
Эспарцет песчаный;Кормовые сельскохозяйственные культуры;6;1;6;30
Эспарцет закавказский;Кормовые сельскохозяйственные культуры;7;1;8;30
Донник белый однолетний;Кормовые сельскохозяйственные культуры;6;25;8;31
Донник белый двулетний;Кормовые сельскохозяйственные культуры;6;25;8;5
Вика мохнатая (озимая);Кормовые сельскохозяйственные культуры;5;25;6;30
Сильфия пронзеннолистная;Кормовые сельскохозяйственные культуры;7;1;9;30
Окопник шершавый;Кормовые сельскохозяйственные культуры;5;15;6;25
Горчица белая;Кормовые сельскохозяйственные культуры;6;1;9;30
Горчица сизая;Кормовые сельскохозяйственные культуры;6;1;6;25
Кориандр посевной;Эфиромасличные и лекарственные культуры;6;25;7;25
Змееголовник молдавский (маточник);Эфиромасличные и лекарственные культуры;7;15;8;25
Иссоп лекарственный;Эфиромасличные и лекарственные культуры;7;1;8;31
Лаванда лекарственная;Эфиромасличные и лекарственные культуры;6;1;8;31
Мята перечная холодная;Эфиромасличные и лекарственные культуры;6;1;7;10
Пустырник волосистый;Эфиромасличные и лекарственные культуры;6;15;9;15
Шалфей лекарственный;Эфиромасличные и лекарственные культуры;6;25;7;25
Шалфей мускатный;Эфиромасличные и лекарственные культуры;5;25;6;25
Тмин обыкновенный;Эфиромасличные и лекарственные культуры;5;1;6;15
Валериана лекарственная;Эфиромасличные и лекарственные культуры;6;1;8;31
Дягиль лекарственный;Эфиромасличные и лекарственные культуры;6;1;7;15
Алтей лекарственныый;Эфиромасличные и лекарственные культуры;7;1;8;31
Амми зубная;Эфиромасличные и лекарственные культуры;6;15;7;25
Анис обыкновенный;Эфиромасличные и лекарственные культуры;6;1;6;30
Чабрец обыкновенный;Эфиромасличные и лекарственные культуры;5;25;6;25
Огурец посевной;Бахчевые и овощные культуры;6;1;8;31
Тыква обыкновенная;Бахчевые и овощные культуры;6;15;9;31
Арбуз обыкновенный;Бахчевые и овощные культуры;6;1;8;31
Дыня обыкновенная;Бахчевые и овощные культуры;6;1;7;15
Яблоня;Плодово-ягодные культуры;5;1;5;30
Вишня обыкновенная;Плодово-ягодные культуры;4;20;4;30
Груша;Плодово-ягодные культуры;4;20;4;30
Черешня;Плодово-ягодные культуры;4;15;4;30
Слива;Плодово-ягодные культуры;4;15;4;20
Алыча;Плодово-ягодные культуры;4;10;4;20
Абрикос;Плодово-ягодные культуры;4;15;4;30
Персик;Плодово-ягодные культуры;4;20;4;30
Айва;Плодово-ягодные культуры;4;20;4;30
Смородина золотистая;Плодово-ягодные культуры;4;20;4;30
Малина обыкновенная;Плодово-ягодные культуры;6;1;6;30
Ежевика сизая;Плодово-ягодные культуры;5;1;7;30
Барбарис;Плодово-ягодные культуры;5;25;6;15
Черника;Плодово-ягодные культуры;5;1;6;30
Кизил;Плодово-ягодные культуры;4;1;4;30
Калина;Плодово-ягодные культуры;6;1;6;14
Терн (слива колючая);Плодово-ягодные культуры;6;1;6;15
Облепиха крушинновидная;Плодово-ягодные культуры;4;1;5;30
Липа сердцевидная и липа пушистая;Древесные и кустарниковые породы лесов и парков;6;1;6;12
Клен остролистый;Древесные и кустарниковые породы лесов и парков;4;1;4;30
Клен татарский;Древесные и кустарниковые породы лесов и парков;4;1;4;30
Ива;Древесные и кустарниковые породы лесов и парков;4;1;4;15
Акация белая;Древесные и кустарниковые породы лесов и парков;5;20;6;10
Акация розовая и желтая;Древесные и кустарниковые породы лесов и парков;6;10;6;22
Каштан конский;Древесные и кустарниковые породы лесов и парков;5;1;6;15
Софора японская;Древесные и кустарниковые породы лесов и парков;7;1;7;30
Гледичия;Древесные и кустарниковые породы лесов и парков;5;1;5;10
Рябина;Древесные и кустарниковые породы лесов и парков;5;1;5;10
Лох узколистный;Древесные и кустарниковые породы лесов и парков;5;20;6;10
Белоягодник;Древесные и кустарниковые породы лесов и парков;7;20;9;30
Лиций обыкновенный;Древесные и кустарниковые породы лесов и парков;5;20;9;30
Крушина ломкая;Древесные и кустарниковые породы лесов и парков;5;1;8;30
Вереск;Древесные и кустарниковые породы лесов и парков;8;1;9;10
Ракитник;Древесные и кустарниковые породы лесов и парков;5;1;5;24
Кизильник;Древесные и кустарниковые породы лесов и парков;5;20;6;30
Птелея трехлистная;Древесные и кустарниковые породы лесов и парков;6;1;6;30
Жимолость;Древесные и кустарниковые породы лесов и парков;5;1;5;30
Шиповник;Древесные и кустарниковые породы лесов и парков;5;15;6;5
Василек;Луговое разнотравье;6;15;7;30
Горошек мышиный;Луговое разнотравье;6;1;7;30
Герань луговая;Луговое разнотравье;6;1;7;10
Мать-и-мачеха;Луговое разнотравье;4;1;5;10
Плакун иволистный;Луговое разнотравье;6;25;8;30
Чистец болотный;Луговое разнотравье;6;15;6;30
Шалфей луговой;Луговое разнотравье;5;25;8;30
Шалфей мутовчатый;Луговое разнотравье;5;1;8;30
Очиток едкий;Луговое разнотравье;7;1;7;31
Яснотка белая;Луговое разнотравье;5;20;7;31
Кипрей, иван-чай;Луговое разнотравье;6;1;7;1
Душица обыкновенная;Луговое разнотравье;7;15;9;15
Котовник мятный;Луговое разнотравье;7;1;8;31
Сурепка;Сорняки-медоносы;5;1;7;30
Ваточник (ласточник);Сорняки-медоносы;7;1;8;10
Шандра белая (конская мята);Сорняки-медоносы;7;1;8;15
Бодяк;Сорняки-медоносы;7;20;8;30
Цикорий дикий;Сорняки-медоносы;6;1;7;30
Лопух паутинистый;Сорняки-медоносы;7;1;8;31
Мордовник;Сорняки-медоносы;7;1;8;30
Одуванчик;Сорняки-медоносы;4;1;5;10
