type;nominative;dative;genitive;instrumental;prepositional;plural_nominative;plural_dative;plural_genitive;plural_instrumental;plural_prepositional
1;Инна;Инне;Инны;Инной;Инне;;;;;
3;Владимировна;Владимировне;Владимировны;Владимировной;Владимировне;Владимировны;Владимировнам;Владимировен;Владимировнами;Владимировнах
0;Семенова;Семеновой;Семеновой;Семеновой;Семеновой;;;;;
3;ДИРЕКТОР;ДИРЕКТОРУ;ДИРЕКТОРА;ДИРЕКТОРОМ;ДИРЕКТОРЕ;ДИРЕКТОРА;ДИРЕКТОРАМ;ДИРЕКТОРОВ;ДИРЕКТОРАМИ;ДИРЕКТОРАХ
3;Малашахбан;Малашахбану;Малашахбана;Малашахбаном;Малашахбане;Малашахбаны;Малашахбанам;Малашахбанов;Малашахбанами;Малашахбанах
3;Салманович;Салмановичу;Салмановича;Салмановичем;Салмановиче;Салмановичи;Салмановичам;Салмановичей;Салмановичами;Салмановичах
0;Алиев;Алиеву;Алиева;Алиевым;Алиеве;;;;;
1;Ольга;Ольге;Ольги;Ольгой;Ольге;;;;;
3;Ивановна;Ивановне;Ивановны;Ивановной;Ивановне;Ивановны;Ивановнам;Ивановен;Ивановнами;Ивановнах
1;Доценко;Доценко;Доценко;Доценко;Доценко;;;;;
